LabVIEW Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writer_Version,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reader_Version,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Separator,Tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decimal_Separator,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi_Headings,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X_Columns,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time_Pref,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator,ENGTESTCHAMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,11/20/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,08:47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***End_of_Header***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,X values guaranteed valid only for L1 Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channels,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Date,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,11/20/2019,
Time,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.6,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,08:47.8,
